Item Code,Product Name,Department Name,Category Name,Bills,Bill Penetration %,Quantity,Adjusted Quantity (for sachets),Revenue (₹),Avg Selling Price (₹),Avg Cost (₹),Avg Margin % (on selling),Avg MRP (₹)
8901052021598,Gemini Tea Powder 50g,Beverages,Tea & Coffee,105,0.47,115,115,3335,29,27.09,6.6,30
8901396152002,Harpic Toilet Cleaner 200ml,Home Care,House & Kitchen Cleaning,106,0.47,108,108,4860,45,41.62,7.51,46
PACS0462,Lalitha Jeera 20g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,106,0.47,123,123,1008,8.23,4.91,39.94,25
8901023017445,Godrej Cinthol 150g,Personal Care,Soaps & Body Wash,106,0.47,142,142,8136,57.2,52.7,7.86,58.54
8904289701202,Peni Rawa (Gajraj) 500g,"Rice, Atta & Dals",Atta & Flours,105,0.47,138,138,4002,29,22,24.14,37
8901396315100,Dettol Original Soap 40g,Personal Care,Soaps & Body Wash,103,0.46,255,255,2550,10,9.04,9.6,10
8901030641657,Wheel Lemon & Jasmin Powder 500g,Home Care,Laundry,101,0.45,122,122,4270,35,33.35,4.72,38.36
8906035030826,Freedom Rice Bran Oil 1L,"Oil, Sugar & Masalas",Oil & Ghee,100,0.45,171,171,26676,156,150.86,3.3,184
PACS0189,Red Sugar 1kg,"Oil, Sugar & Masalas",Sugar & Gud,100,0.45,107,107,6087,56.88,53.05,6.74,60
8902979026925,Spinz Bb Face Powder 10g,Personal Care,"Deos, Talcs & Perfumes",100,0.45,134,134,1340,10,8.8,12,10
PACS1547,Pesara Byallu 250g,"Rice, Atta & Dals",Dals & Pulses,100,0.45,111,111,3330,30,25.18,16.07,40
PACS0104,Cotton Vothulu (small),Home Care,Pooja Needs,99,0.44,110,110,1320,12,6.93,42.27,20
8901719122910,Parle Rusk 182g,Packaged Foods & Dry Fruits,Bakery,98,0.44,123,123,4182,34,31.41,7.61,35
PACS0794,Pumpkeen Seeds 100g,"Rice, Atta & Dals",Dry Fruits,99,0.44,106,106,5830,55,31.73,42.32,64.55
PACS0862,Rose Chikky 200g,Packaged Foods & Dry Fruits,Indian Sweets,97,0.43,107,107,4494,42,38.19,9.06,48
8902979001045,Meera Coconut Oil 100ml,Personal Care,Hair Care,97,0.43,103,103,3914,38,35.42,6.79,45
8901399015342,Santoor Lime Fresh Skin 42g,Personal Care,Soaps & Body Wash,97,0.43,260,260,2600,10,9.03,9.67,10
8909106006485,Surf Excel Quick Wash 500g,Home Care,Laundry,94,0.42,95,95,9247,97.34,91.83,5.66,101.68
8906170470280,Annapurna Crystal Salt 1kg,"Oil, Sugar & Masalas",Masala Spices & Ingredients,93,0.42,132,132,2507,18.99,16,15.75,22
8908008381010,Varsha Detergent Cake 190g,Home Care,Laundry,92,0.41,440,440,5720,13,10.69,17.79,15
PACS1337,Biryani Leaf 20g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,92,0.41,106,106,838,7.89,2.45,68.96,14.11
